step,busyness,production_1,production_2,production_3
-1,,0,0,0
10,0.02631578947368421,,,
110,0.10526315789473684,,,
210,0.15789473684210525,,,
310,0.21052631578947367,,,
402,,,1,
410,0.2631578947368421,,,
424,,1,,
494,,,,1
510,0.3157894736842105,,,
552,,,2,
574,,2,,
610,0.34210526315789475,,,
644,,,,2
666,,,3,
710,0.34210526315789475,3,,
754,,,,3
776,,,4,
810,0.3684210526315789,,,
820,,4,,
842,,,,4
864,,,5,
886,,5,,
908,,,,5
910,0.3684210526315789,,,
930,,,6,
952,,6,,
974,,,,6
996,,,7,
1010,0.3684210526315789,,,
1018,,7,,
1040,,,,7
1062,,,8,
1084,,8,,
1106,,,,8
1110,0.3684210526315789,,,
1128,,,9,
1150,,9,,
1172,,,,9
1194,,,10,
1210,0.3684210526315789,,,
1216,,10,,
1238,,,,10
1260,,,11,
1282,,11,,
1304,,,,11
1310,0.3684210526315789,,,
1326,,,12,
1348,,12,,
1370,,,,12
1392,,,13,
1410,0.3684210526315789,,,
1414,,13,,
1436,,,,13
1458,,,14,
1480,,14,,
1502,,,,14
1510,0.3684210526315789,,,
1524,,,15,
1546,,15,,
1568,,,,15
1590,,,16,
1610,0.34210526315789475,,,
1612,,16,,
1634,,,,16
1656,,,17,
1678,,17,,
1700,,,,17
1710,0.3684210526315789,,,
1722,,,18,
1744,,18,,
1766,,,,18
1788,,,19,
1810,0.34210526315789475,19,,
1832,,,,19
1854,,,20,
1876,,20,,
1898,,,,20
1910,0.3684210526315789,,,
1920,,,21,
1942,,21,,
1964,,,,21
1986,,,22,
2008,,22,,
2010,0.3684210526315789,,,
2030,,,,22
2052,,,23,
2074,,23,,
2096,,,,23
2110,0.3684210526315789,,,
2118,,,24,
2140,,24,,
2162,,,,24
2184,,,25,
2206,,25,,
2210,0.3684210526315789,,,
2228,,,,25
2250,,,26,
2272,,26,,
2294,,,,26
2310,0.3684210526315789,,,
2316,,,27,
2338,,27,,
2360,,,,27
2382,,,28,
2404,,28,,
2410,0.3684210526315789,,,
2426,,,,28
2448,,,29,
2470,,29,,
2492,,,,29
2510,0.3684210526315789,,,
2514,,,30,
2536,,30,,
2558,,,,30
2580,,,31,
2602,,31,,
2610,0.3684210526315789,,,
2624,,,,31
2646,,,32,
2668,,32,,
2690,,,,32
2710,0.34210526315789475,,,
2712,,,33,
2734,,33,,
2756,,,,33
2778,,,34,
2800,,34,,
2810,0.3684210526315789,,,
2822,,,,34
2844,,,35,
2866,,35,,
2888,,,,35
2910,0.34210526315789475,,36,
2932,,36,,
2954,,,,36
2976,,,37,
2998,,37,,
3010,0.3684210526315789,,,
3020,,,,37
3042,,,38,
3064,,38,,
3086,,,,38
3108,,,39,
3110,0.3684210526315789,,,
3130,,39,,
3152,,,,39
3174,,,40,
3196,,40,,
3210,0.3684210526315789,,,
3218,,,,40
3240,,,41,
3262,,41,,
3284,,,,41
3306,,,42,
3310,0.3684210526315789,,,
3328,,42,,
3350,,,,42
3372,,,43,
3394,,43,,
3410,0.34210526315789475,,,
3416,,,,43
3438,,,44,
3460,,44,,
3482,,,,44
3504,,,45,
3510,0.3684210526315789,,,
3526,,45,,
3548,,,,45
3570,,,46,
3592,,46,,
3610,0.34210526315789475,,,
3614,,,,46
3636,,,47,
3658,,47,,
3680,,,,47
3702,,,48,
3710,0.3684210526315789,,,
3724,,48,,
3746,,,,48
3768,,,49,
3790,,49,,
3810,0.3684210526315789,,,
3812,,,,49
3834,,,50,
3856,,50,,
3878,,,,50
3900,,,51,
3910,0.3684210526315789,,,
3922,,51,,
3944,,,,51
3966,,,52,
3988,,52,,
4010,0.34210526315789475,,,52
4032,,,53,
4054,,53,,
4076,,,,53
4098,,,54,
4110,0.3684210526315789,,,
4120,,54,,
4142,,,,54
4164,,,55,
4186,,55,,
