# Settings - STEP_TO_TIME: 0.1
# Settings - SIMULATION_TIME: 3600
# Settings - STEPS: 36000
# Settings - MAX_CONTAINERS_AMMOUNT: 12
#name production.product_1 production.product_2 production.product_3 stoppers_occupied conveyors_moving
#datatype int int int float float
step,production.product_1,production.product_2,production.product_3,stoppers_occupied,conveyors_moving
0,0,0,0,0.0526,0.0238
100,0,0,0,0.1316,0.0476
200,0,0,0,0.1842,0.0952
300,0,0,0,0.2368,0.1429
400,1,0,0,0.2895,0.1905
500,1,1,1,0.3158,0.2381
600,2,2,1,0.3158,0.2857
700,3,3,2,0.3158,0.2143
800,4,4,4,0.3158,0.2619
900,6,6,5,0.3158,0.2381
1000,7,7,7,0.3158,0.1905
1100,8,9,8,0.3158,0.2619
1200,10,10,9,0.3158,0.2619
1300,11,12,11,0.3158,0.2143
1400,13,13,12,0.3158,0.2619
1500,14,14,14,0.3158,0.2857
1600,16,16,15,0.3158,0.2619
1700,17,17,17,0.3158,0.2381
1800,18,19,18,0.3158,0.2619
1900,20,20,20,0.3158,0.2143
2000,21,22,21,0.3158,0.2619
2100,23,23,22,0.3158,0.2381
2200,24,25,24,0.3158,0.2143
2300,26,26,25,0.3158,0.2619
2400,27,27,27,0.3158,0.2619
2500,29,29,28,0.3158,0.2619
2600,30,30,29,0.3158,0.2381
2700,31,32,31,0.3158,0.2619
2800,33,33,33,0.3158,0.2143
2900,34,34,34,0.3158,0.2381
3000,36,36,35,0.3158,0.2381
3100,37,38,37,0.3158,0.2381
3200,38,39,38,0.3158,0.2857
3300,40,40,40,0.3158,0.2619
3400,42,42,41,0.3158,0.2619
3500,43,43,42,0.3158,0.2619
3600,44,45,44,0.3158,0.2619
3700,46,46,45,0.3158,0.2619
3800,47,47,47,0.3158,0.2619
3900,49,49,48,0.3158,0.2381
4000,50,50,50,0.3158,0.2143
4100,51,52,51,0.3158,0.2619
4200,53,53,53,0.3158,0.2381
4300,54,55,54,0.3158,0.2381
4400,56,56,55,0.3158,0.2619
4500,57,58,57,0.3158,0.2619
4600,59,59,58,0.3158,0.2381
4700,60,60,60,0.3158,0.2619
4800,62,62,61,0.3158,0.2381
4900,63,63,63,0.3158,0.2143
5000,64,65,64,0.3158,0.2857
5100,66,66,65,0.3158,0.2381
5200,67,68,67,0.3158,0.2381
5300,69,69,68,0.3158,0.2857
5400,70,70,70,0.3158,0.2619
5500,72,72,71,0.3158,0.2381
5600,73,73,73,0.3158,0.2619
5700,74,75,74,0.3158,0.2619
5800,76,76,76,0.3158,0.2143
5900,77,78,77,0.3158,0.2857
6000,79,79,78,0.3158,0.2381
6100,80,81,80,0.3158,0.2381
6200,82,82,81,0.3158,0.2857
6300,83,83,83,0.3158,0.2619
6400,85,85,84,0.3158,0.2381
6500,86,86,86,0.3158,0.2143
6600,87,88,87,0.3158,0.2381
6700,89,89,89,0.3158,0.1667
6800,90,91,90,0.3158,0.2381
6900,92,92,91,0.3158,0.2381
7000,93,94,93,0.3158,0.2381
7100,95,95,94,0.3158,0.2619
7200,96,96,96,0.3158,0.2619
7300,98,98,97,0.3158,0.2381
7400,99,99,99,0.3158,0.2143
7500,100,101,100,0.3158,0.2619
7600,102,102,101,0.3158,0.2381
7700,103,104,103,0.3158,0.2381
7800,105,105,104,0.3158,0.2619
7900,106,106,106,0.3158,0.2857
8000,108,108,107,0.3158,0.2619
8100,109,109,109,0.3158,0.2381
8200,110,111,110,0.3158,0.2619
8300,112,112,112,0.3158,0.2143
8400,113,114,113,0.3158,0.2619
8500,115,115,114,0.3158,0.2143
8600,116,117,116,0.3158,0.2381
8700,118,118,117,0.3158,0.2619
8800,119,119,119,0.3158,0.2619
8900,121,121,120,0.3158,0.2381
9000,122,122,122,0.3158,0.1667
9100,123,124,123,0.3158,0.2381
9200,125,125,125,0.3158,0.1667
9300,126,127,126,0.3158,0.2143
9400,128,128,127,0.3158,0.2143
9500,129,130,129,0.3158,0.2381
9600,131,131,130,0.3158,0.2619
9700,132,132,132,0.3158,0.2619
9800,134,134,133,0.3158,0.2143
9900,135,135,135,0.3158,0.1905
10000,136,137,136,0.3158,0.2619
10100,138,138,137,0.3158,0.2381
10200,139,140,139,0.3158,0.2381
10300,141,141,140,0.3158,0.2619
10400,142,142,142,0.3158,0.2857
10500,144,144,143,0.3158,0.2619
10600,145,145,145,0.3158,0.2381
10700,146,147,146,0.3158,0.2381
10800,148,148,148,0.3158,0.1905
10900,149,150,149,0.3158,0.2381
11000,151,151,150,0.3158,0.2143
11100,152,153,152,0.3158,0.2381
11200,154,154,153,0.3158,0.2619
11300,155,155,155,0.3158,0.2619
11400,157,157,156,0.3158,0.2381
11500,158,158,158,0.3158,0.1667
11600,159,160,159,0.3158,0.2143
11700,161,161,161,0.3158,0.1667
11800,162,163,162,0.3158,0.1905
11900,164,164,163,0.3158,0.2143
12000,165,166,165,0.3158,0.2381
12100,167,167,166,0.3158,0.2619
12200,168,168,168,0.3158,0.2619
12300,170,170,169,0.3158,0.2381
12400,171,171,171,0.3158,0.1905
12500,172,173,172,0.3158,0.2619
12600,174,174,173,0.3158,0.2381
12700,175,176,175,0.3158,0.2143
12800,177,177,176,0.3158,0.2619
12900,178,178,178,0.3158,0.2857
13000,180,180,179,0.3158,0.2619
13100,181,181,181,0.3158,0.2381
13200,182,183,182,0.3158,0.2619
13300,184,184,184,0.3158,0.1905
13400,185,186,185,0.3158,0.2381
13500,187,187,186,0.3158,0.2143
13600,188,189,188,0.3158,0.2143
13700,190,190,189,0.3158,0.2619
13800,191,191,191,0.3158,0.2619
13900,193,193,192,0.3158,0.2381
14000,194,194,194,0.3158,0.1905
