# Settings - STEP_TO_TIME: 0.1
# Settings - SIMULATION_TIME: 10800
# Settings - STEPS: 108000
# Settings - MAX_CONTAINERS_AMMOUNT: 1
#name production.product_1 production.product_2 production.product_3 stoppers_occupied conveyors_moving
#datatype int int int float float
step,production.product_1,production.product_2,production.product_3,stoppers_occupied,conveyors_moving
0,0,0,0,0.0263,0.0238
100,0,0,0,0.0263,0.0238
200,0,0,0,0.0263,0.0238
300,0,0,0,0.0263,0.0238
400,1,0,0,0.0263,0.0238
500,1,0,0,0.0263,0.0238
600,1,0,0,0.0263,0.0238
700,1,1,0,0.0263,0.0238
800,1,1,0,0.0263,0.0238
900,1,1,1,0.0263,0.0238
1000,1,1,1,0.0263,0.0238
1100,2,1,1,0.0263,0.0238
1200,2,1,1,0.0263,0.0238
1300,2,1,1,0.0263,0.0238
1400,2,2,1,0.0263,0.0238
1500,2,2,1,0.0263,0.0238
1600,2,2,2,0.0263,0.0238
1700,2,2,2,0.0263,0.0238
1800,2,2,2,0.0263,0.0238
1900,3,2,2,0.0263,0.0238
2000,3,2,2,0.0263,0.0238
2100,3,3,2,0.0263,0.0238
2200,3,3,2,0.0263,0.0238
2300,3,3,3,0.0263,0.0238
2400,3,3,3,0.0263,0.0238
2500,3,3,3,0.0263,0.0238
2600,4,3,3,0.0263,0.0238
2700,4,3,3,0.0263,0.0238
2800,4,4,3,0.0263,0.0238
2900,4,4,3,0.0263,0.0238
3000,4,4,4,0.0263,0.0238
3100,4,4,4,0.0263,0.0238
3200,4,4,4,0.0263,0.0238
3300,5,4,4,0.0263,0.0238
3400,5,4,4,0.0263,0.0238
3500,5,5,4,0.0263,0.0238
3600,5,5,4,0.0263,0.0238
3700,5,5,5,0.0263,0.0238
3800,5,5,5,0.0263,0.0238
3900,5,5,5,0.0263,0.0238
4000,6,5,5,0.0263,0.0238
4100,6,5,5,0.0263,0.0238
4200,6,6,5,0.0263,0.0238
4300,6,6,5,0.0263,0.0238
4400,6,6,6,0.0263,0.0238
4500,6,6,6,0.0263,0.0238
4600,6,6,6,0.0263,0.0238
4700,7,6,6,0.0263,0.0238
4800,7,6,6,0.0263,0.0238
4900,7,7,6,0.0263,0.0238
5000,7,7,6,0.0263,0.0238
5100,7,7,7,0.0263,0.0238
5200,7,7,7,0.0263,0.0238
5300,7,7,7,0.0263,0.0238
5400,8,7,7,0.0263,0.0238
5500,8,7,7,0.0263,0.0238
5600,8,8,7,0.0263,0.0238
5700,8,8,7,0.0263,0.0238
5800,8,8,8,0.0263,0.0238
5900,8,8,8,0.0263,0.0238
6000,8,8,8,0.0263,0.0238
6100,9,8,8,0.0263,0.0238
6200,9,8,8,0.0263,0.0238
6300,9,9,8,0.0263,0.0238
6400,9,9,8,0.0263,0.0238
6500,9,9,9,0.0263,0.0238
6600,9,9,9,0.0263,0.0238
6700,9,9,9,0.0263,0.0238
6800,10,9,9,0.0263,0.0238
6900,10,9,9,0.0263,0.0238
7000,10,10,9,0.0263,0.0238
7100,10,10,9,0.0263,0.0238
7200,10,10,10,0.0263,0.0238
7300,10,10,10,0.0263,0.0238
7400,10,10,10,0.0263,0.0238
7500,11,10,10,0.0263,0.0238
7600,11,10,10,0.0263,0.0238
7700,11,11,10,0.0263,0.0238
7800,11,11,10,0.0263,0.0238
7900,11,11,11,0.0263,0.0238
8000,11,11,11,0.0263,0.0238
8100,11,11,11,0.0263,0.0238
8200,12,11,11,0.0263,0.0238
8300,12,11,11,0.0263,0.0238
8400,12,12,11,0.0263,0.0238
8500,12,12,11,0.0263,0.0238
8600,12,12,12,0.0263,0.0238
8700,12,12,12,0.0263,0.0238
8800,12,12,12,0.0263,0.0238
8900,13,12,12,0.0263,0.0238
9000,13,12,12,0.0263,0.0238
9100,13,13,12,0.0263,0.0238
9200,13,13,12,0.0263,0.0238
9300,13,13,13,0.0263,0.0238
9400,13,13,13,0.0263,0.0238
9500,13,13,13,0.0263,0.0238
9600,14,13,13,0.0263,0.0238
9700,14,13,13,0.0263,0.0238
9800,14,14,13,0.0263,0.0238
9900,14,14,13,0.0263,0.0238
10000,14,14,14,0.0263,0.0238
10100,14,14,14,0.0263,0.0238
10200,14,14,14,0.0263,0.0238
10300,15,14,14,0.0263,0.0238
10400,15,14,14,0.0263,0.0238
10500,15,15,14,0.0263,0.0238
10600,15,15,14,0.0263,0.0238
10700,15,15,15,0.0263,0.0238
10800,15,15,15,0.0263,0.0238
10900,15,15,15,0.0263,0.0238
11000,16,15,15,0.0263,0.0238
11100,16,15,15,0.0263,0.0238
11200,16,16,15,0.0263,0.0238
11300,16,16,15,0.0263,0.0238
11400,16,16,16,0.0263,0.0238
11500,16,16,16,0.0263,0.0238
11600,16,16,16,0.0263,0.0238
11700,17,16,16,0.0263,0.0238
11800,17,16,16,0.0263,0.0238
11900,17,17,16,0.0263,0.0238
12000,17,17,16,0.0263,0.0238
12100,17,17,17,0.0263,0.0238
12200,17,17,17,0.0263,0.0238
12300,17,17,17,0.0263,0.0238
12400,18,17,17,0.0263,0.0238
12500,18,17,17,0.0263,0.0238
12600,18,18,17,0.0263,0.0238
12700,18,18,17,0.0263,0.0238
12800,18,18,17,0.0263,0.0238
12900,18,18,18,0.0263,0.0238
13000,18,18,18,0.0263,0.0238
13100,19,18,18,0.0263,0.0238
13200,19,18,18,0.0263,0.0238
13300,19,19,18,0.0263,0.0238
13400,19,19,18,0.0263,0.0238
13500,19,19,18,0.0263,0.0238
13600,19,19,19,0.0263,0.0238
13700,19,19,19,0.0263,0.0238
13800,20,19,19,0.0263,0.0238
13900,20,19,19,0.0263,0.0238
14000,20,20,19,0.0263,0.0238
14100,20,20,19,0.0263,0.0238
14200,20,20,19,0.0263,0.0238
14300,20,20,20,0.0263,0.0238
14400,20,20,20,0.0263,0.0238
14500,21,20,20,0.0263,0.0238
14600,21,20,20,0.0263,0.0238
14700,21,21,20,0.0263,0.0238
14800,21,21,20,0.0263,0.0238
14900,21,21,20,0.0263,0.0238
15000,21,21,21,0.0263,0.0238
15100,21,21,21,0.0263,0.0238
15200,22,21,21,0.0263,0.0238
15300,22,21,21,0.0263,0.0238
15400,22,22,21,0.0263,0.0238
15500,22,22,21,0.0263,0.0238
15600,22,22,21,0.0263,0.0238
15700,22,22,22,0.0263,0.0238
15800,22,22,22,0.0263,0.0238
15900,23,22,22,0.0263,0.0238
16000,23,22,22,0.0263,0.0238
16100,23,23,22,0.0263,0.0238
16200,23,23,22,0.0263,0.0238
16300,23,23,22,0.0263,0.0238
16400,23,23,23,0.0263,0.0238
16500,23,23,23,0.0263,0.0238
16600,24,23,23,0.0263,0.0238
16700,24,23,23,0.0263,0.0238
16800,24,24,23,0.0263,0.0238
16900,24,24,23,0.0263,0.0238
17000,24,24,23,0.0263,0.0238
17100,24,24,24,0.0263,0.0238
17200,24,24,24,0.0263,0.0238
17300,25,24,24,0.0263,0.0238
17400,25,24,24,0.0263,0.0238
17500,25,25,24,0.0263,0.0238
17600,25,25,24,0.0263,0.0238
17700,25,25,24,0.0263,0.0238
17800,25,25,25,0.0263,0.0238
17900,25,25,25,0.0263,0.0238
18000,26,25,25,0.0263,0.0238
18100,26,25,25,0.0263,0.0238
18200,26,26,25,0.0263,0.0238
18300,26,26,25,0.0263,0.0238
18400,26,26,25,0.0263,0.0238
18500,26,26,26,0.0263,0.0238
18600,26,26,26,0.0263,0.0238
18700,27,26,26,0.0263,0.0238
18800,27,26,26,0.0263,0.0238
18900,27,27,26,0.0263,0.0238
19000,27,27,26,0.0263,0.0238
19100,27,27,26,0.0263,0.0238
19200,27,27,27,0.0263,0.0238
19300,27,27,27,0.0263,0.0238
19400,28,27,27,0.0263,0.0238
19500,28,27,27,0.0263,0.0238
19600,28,28,27,0.0263,0.0238
19700,28,28,27,0.0263,0.0238
19800,28,28,27,0.0263,0.0238
19900,28,28,28,0.0263,0.0238
20000,28,28,28,0.0263,0.0238
20100,29,28,28,0.0263,0.0238
20200,29,28,28,0.0263,0.0238
20300,29,29,28,0.0263,0.0238
20400,29,29,28,0.0263,0.0238
20500,29,29,28,0.0263,0.0238
20600,29,29,29,0.0263,0.0238
20700,29,29,29,0.0263,0.0238
20800,30,29,29,0.0263,0.0238
20900,30,29,29,0.0263,0.0238
21000,30,30,29,0.0263,0.0238
21100,30,30,29,0.0263,0.0238
21200,30,30,29,0.0263,0.0238
21300,30,30,30,0.0263,0.0238
21400,30,30,30,0.0263,0.0238
21500,31,30,30,0.0263,0.0238
21600,31,30,30,0.0263,0.0238
21700,31,31,30,0.0263,0.0238
21800,31,31,30,0.0263,0.0238
21900,31,31,30,0.0263,0.0238
22000,31,31,31,0.0263,0.0238
22100,31,31,31,0.0263,0.0238
22200,32,31,31,0.0263,0.0238
