step,busyness,production_1,production_2,production_3
0,1.0,0,0,0
100,1.0,0,0,0
200,1.0,0,0,0
300,1.0,0,0,0
400,1.0,1,0,0
500,1.0,1,0,0
600,1.0,1,0,0
700,1.0,1,1,0
800,1.0,1,1,0
900,1.0,1,1,1
1000,1.0,1,1,1
1100,1.0,2,1,1
1200,1.0,2,1,1
1300,1.0,2,1,1
1400,1.0,2,2,1
1500,1.0,2,2,1
1600,1.0,2,2,2
1700,1.0,2,2,2
1800,1.0,2,2,2
1900,1.0,3,2,2
2000,1.0,3,2,2
2100,1.0,3,3,2
2200,1.0,3,3,2
2300,1.0,3,3,3
2400,1.0,3,3,3
2500,1.0,3,3,3
2600,1.0,4,3,3
2700,1.0,4,3,3
2800,1.0,4,4,3
2900,1.0,4,4,3
3000,1.0,4,4,4
3100,1.0,4,4,4
3200,1.0,4,4,4
3300,1.0,5,4,4
3400,1.0,5,4,4
3500,1.0,5,5,4
3600,1.0,5,5,4
3700,1.0,5,5,5
3800,1.0,5,5,5
3900,1.0,5,5,5
4000,1.0,6,5,5
4100,1.0,6,5,5
4200,1.0,6,6,5
4300,1.0,6,6,5
4400,1.0,6,6,6
4500,1.0,6,6,6
4600,1.0,6,6,6
4700,1.0,7,6,6
4800,1.0,7,6,6
4900,1.0,7,7,6
5000,1.0,7,7,6
5100,1.0,7,7,7
5200,1.0,7,7,7
5300,1.0,7,7,7
5400,1.0,8,7,7
5500,1.0,8,7,7
5600,1.0,8,8,7
5700,1.0,8,8,7
5800,1.0,8,8,8
5900,1.0,8,8,8
6000,1.0,8,8,8
6100,1.0,9,8,8
6200,1.0,9,8,8
6300,1.0,9,9,8
6400,1.0,9,9,8
6500,1.0,9,9,9
6600,1.0,9,9,9
6700,1.0,9,9,9
6800,1.0,10,9,9
6900,1.0,10,9,9
7000,1.0,10,10,9
7100,1.0,10,10,9
7200,1.0,10,10,10
7300,1.0,10,10,10
7400,1.0,10,10,10
7500,1.0,11,10,10
7600,1.0,11,10,10
7700,1.0,11,11,10
7800,1.0,11,11,10
7900,1.0,11,11,11
8000,1.0,11,11,11
8100,1.0,11,11,11
8200,1.0,12,11,11
8300,1.0,12,11,11
8400,1.0,12,12,11
8500,1.0,12,12,11
8600,1.0,12,12,12
8700,1.0,12,12,12
8800,1.0,12,12,12
8900,1.0,13,12,12
9000,1.0,13,12,12
9100,1.0,13,13,12
9200,1.0,13,13,12
9300,1.0,13,13,13
9400,1.0,13,13,13
9500,1.0,13,13,13
9600,1.0,14,13,13
9700,1.0,14,13,13
9800,1.0,14,14,13
9900,1.0,14,14,13
